ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
17,18-24,2019-12-01T12:53:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
18,Oct-17,2019-12-01T15:17:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.534187,0.012891,963725,On or near Ladywell Street,Offensive weapons,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
19,null,2019-12-02T15:35:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.531507,0.002392,963796,On or near Abbey Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
20,over 34,2019-12-03T00:06:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533732,0.0268,963445,On or near Carter Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Pakistani,Person search
21,18-24,2019-12-02T15:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.531507,0.002392,963796,On or near Abbey Road,Controlled drugs,White,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,White - English/Welsh/Scottish/Northern Irish/British,Person and Vehicle search
22,18-24,2019-12-02T15:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.531507,0.002392,963796,On or near Abbey Road,Controlled drugs,White,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,White - English/Welsh/Scottish/Northern Irish/British,Person and Vehicle search
23,25-34,2019-12-03T10:10:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.523221,0.022008,962093,On or near Parking Area,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
24,over 34,2019-12-02T13:28:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.526086,0.030035,962307,On or near Barking Road,Controlled drugs,White,FALSE,null,Arrest,null,bu-arrest,Arrest,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
25,Oct-17,2019-12-04T12:10:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,Asian,FALSE,null,Arrest,null,bu-arrest,Arrest,null,Asian/Asian British - Any other Asian background,Person search
26,Oct-17,2019-12-04T12:10:00+00:00,Female,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,Black,FALSE,null,Arrest,null,bu-arrest,Arrest,null,Black/African/Caribbean/Black British - African,Person search
